NAME,ASINS,TIME,RATING,URL,REVIEW_SUMMARY,FULL_REVIEW
Asoke D.,B0C7C1DRK5,Reviewed in India on 18 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH67NZIHWUTSSZNFDPWOZPM4NDNA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Quickest delivery,Easy handling and the features of the mobile are attractive.
vicky,B0C7C1DRK5,Reviewed in India on 13 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AELTZEHQHAASB2JL2WZ4UCWJJ4RQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Phone thik hai par ? Chagar hota Phone jada selling hota,Chagar Most important
aboobacker sidheeq,B0C7C1DRK5,Reviewed in India on 13 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHUJZWX7L6KKJYUD5BBBFXXBYITA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Nice Mobile,Good product. Value for money.
Mohammad Raghib,B0C7C1DRK5,Reviewed in India on 10 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH5UGVGLRXFOP6AV337H5IMR26JQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Best in 15000 Rs,"A balance phone not for gamers, for daily uses it is the best one"
C M Mohammad Siddique,B0C7C1DRK5,Reviewed in India on 10 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AF7XV7QNH66POLBACZMON57QUBPQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,OK Good,Performance good
Adesh Suryawanshi,B0C7C1DRK5,Reviewed in India on 18 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AHCZICIDYJTEVCQMPVISP6OOAT5Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Very nice,Very nice phone value for money.
Justice G.P.Srivastava,B0C7C1DRK5,Reviewed in India on 21 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AGD4VATKCEDDG7MYHQGT7IOEGNJA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,A beautiful device.,Useful product ad easy to operate.
Ishit chauhan,B0C7C1DRK5,Reviewed in India on 13 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH7EJBV33MMMXOHC6GSUWCQ2RZJA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,best camera under 20k overall good performance,camera is awesome . good
Arshad Ali,B0C7C1DRK5,Reviewed in India on 7 November 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AG555JB444KNNZBB7IITTJ34NX6A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,battery life,worth buying in this price for samsung lovers.
Sanjeev Kumar,B0C7C1DRK5,Reviewed in India on 18 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFYYHOSESY7XQJI5ZX446QHI2N4A/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Design is looking beautiful,In this budget looking very good phone
GDutta,B0C7C1DRK5,Reviewed in India on 8 October 2023,4.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AFCMPUM7FG4UNQEOMHKO3IQ3TUYQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Samsung Experience on budget,"Liked- the Display (except the drop notch obviously), Battery performance, and god! the camera.

A better rear build and Slim Design would have been better anticipated. Never the less the Software support will compensate all the Cons.

point: Charger should always be added with handset. not acceptable from Brands like Samsung. Cost cutting should have a fair limit!!!"
Nick,B0C7C1DRK5,Reviewed in India on 26 August 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AH3T5GUZRCJJWEWOU7EUDLQA7UVQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"Latest android, samsung quality","Was using g a M30 which is a great phone for the price point. (Going great even after 4 years..)

M34 is slightly bulkier, slightly bigger also in size. Decent camera and speakers, battery also good for a days heavy use (not speaking for gamers). If using screen lightly then possibly can use for upto 2 days on a full charge..

Says amoled and gorilla glass but I don't see any perceptible improvement from my M30 screen quality. (I think that impressive screen quality comes a bit more expensive.., I will definitely pay a bit more for a screen which I got with samsung galaxy S3)

A slight change I will need adjusting to is side finger print rather than in the back..but these days face recognition is good enough for most purposes..

Samsung switch is great for moving your old phone data and settings to new one- almost magic. Apart from a few restricted app data (banks, whatsapp etc) everything else was copied (app, data, settings..) within 30 minutes. Including google account for android, contacts, call history and sms! Email clients are copied and only thing I need is to login once to every account to start using it.

After the transfer both my phones were carbon copy of each other- down to even my screensaver and widget placement etc, every single app was on the same page, convenient!
Just connect phones c to c and follow instructions..(transfer Old to New)

I bought a 25 watt samsung original charger also but not required, my M30 original charger (15 watt or less I think) is working perfectly..

Just to get a great combo, go for samsung buds (<4k) instead of any other bluetooth earphones. Great value for money..

Mine is 8gb/128gb version. Not yet used heavily (still using old phone for most purposes, transition will take some time..specially since the M30 is still perfect like new). So, things like heating on heavy uses etc will realise only later..though my experience with samsung is they are better on that front..

M30 was 4 gb memory and used an average 2 gb most of the times. I have been a bit liberal with app installation (installed a few suggested apps, not many though) and permissions on new phone and it uses 4 gb plus most of ther time, though it should be able to control that a bit with proper app management. But don't expect a 2 gb memory use despite minimum app install etc..5g, Nfc, android 13, and few other things combined would keep minimum close to 4gb

M30 had 2 dedicated sim plus sd card slot. This has just 1 dedicated sim, and other slot you can use either for sim or sd card. Should work for most, specially since you have 128gb storage as standard, so sd card not required

Jio will give you unlimited 5g data as soon as you move to 5g so that will be a big saving. You can now opt for cheapest plan and still use unlimited 5g data till jio promotion continues..including mobile hotspot uses..

5g is perceptibly fast..

Got it for 20k with 2k offer from axis bank card

Overall, go for it if you are looking for a dependable upto 20k 5g mobile"
Ashwin Jumnake,B0C7C1DRK5,Reviewed in India on 10 November 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AERZ4KEGPFQQ524J5MRGZ7SFXNIQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Love It ✨️,"Review after 1 month of use:
I bought this phone from Amazon Great Indian Festival Sale. This cost me ₹15999 + ₹999 (Samsung Adapter 25w) and it came to ₹16998.

PROS: ● It has latest Android version is 13 (now 14 has also been released on 4 Oct).
● One UI 5.1 which gives a new experience on phones with larger screens, it provides widget features and also gives shortcut keys.
● The display is good and it also comes with Corning Gorilla Glass 5 which is scratchproof.
● It also supports 4K videos at 30fps.
● It has Exynos 1280 chip, which makes the gaming experience better. Rest of the performance is also good.
● Camera features are amazing, SLO-Mo and Super Slo-Mo, HD and FHD, Pro Camera and a new Fun feature which is related to Snapchat.
● There are 3 or 4 ways to take a screenshot but the best is to set the screenshot icon on the screen which works like one touch screenshot.
● It has 128GB storage and 6GB RAM.
● Unlike Redmi and Realme, unnecessary notifications do not come again and again, you can also control them.

CONS: ● Battery is 6000mah, but its life is short.
● Exynos is a good chipset but it is pale in comparison to Snapdragon and it also drains the battery.
● Main Camera is 50 MP which is good but Front Camera is 13 MP which is quite bad, if you are a selfie lover then you will be disappointed.
● Samsung File Manager does not allow access to Android folders, so you may need to download a third party File Manager app.
● Like Redmi and Realme, it does not have the feature of App Lock.
● Connectivity is a little slow, it takes a few seconds to turn on mobile data."
Vikrant Pathak,B0C7C1DRK5,Reviewed in India on 21 October 2023,5.0 out of 5 stars,https://www.amazon.in/gp/profile/amzn1.account.AEFNMOYHOYYLDJV5I3MCYQK7NXSA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,Just Love itt....,"I got this phone in 15k in the sale,,

I am using Galaxy M34 from last 10 days. So I am sharing my current experience and will let you know if anything different happens in the future. And I am Not a heavy user so it can be different for you...
1. Camera = 4/5
Camera is decent not too good as i expected maybe Samsung would fix it by updates..
2. Battery = 5/5
Real Monster,,,, just wow i am impressed with the battery backup i am a moderate phone user,, So for me a full charge is sufficient for 2 days.
Charging speed with original Samsung 25w charger it takes around 1 hours 20 mins to get fully charged
3. Display = 5/5
Samsung sAmoled display is always better, so for watching content it's great.
4. Build and look = 4/5
Looks premium but scratches and fingerprints are easily visible.
5. Performance = 4/5
We all know this is not a performance phone, but it does our daily tasks comfortably. and i feel little warm initially. so Don't expect flawless Gaming.
6. Sounds and Speaker = 4/5
Not a stereo speaker but Single speaker is good enough in terms of loudness..
7. UI and Software = 5/5
One ui with knox security. It gives a very good experience. In terms of UI, I don't find any phone better than Samsung.. and Samsung has kept unique features like Samsung wallet secure folder in this phone. With 4 Gen of Os And 5 years Of security update ..

So in the end I would like to say this. For me there is no major drawback till now in this phone... I Hope it would be helpful for you..."
